Provincia	 Distrito	Corregimiento	Comunidad
			El Barrial
			El Calvario
			El Jobo
			El Manglarito
			El Nanzal
			El Nanzal Arriba
			El Tabiral
			Filipina
			Hondura
			La Cortadera
			La Huaca
			La Lagunita
			La Rioca
			Las Boquillas
			Loma Larga
			Manglarito Chico
			Naranjal
			Ojo de Agua
			Peñalosa
			Punta Arena
			Raya Blanca
			Sora Highlands Village
			Sorá
			Tosanto
			
	La Chorrera		
			
		Barrio Balboa	
			
			Barrio Balboa
			
		Barrio Colón	
			
			Barrio Colón
			Ciudad Montelimar
			El Limón
			Mastranto
			Residencial Valle Dorado
			Urbanización Fuente del Chase
		Amador	
			
			Alto de La Bandera
			Amador, Lagarterita
			Barro Colorado
			Cerro Cama
			Gigante
			Isla Lagarto
			Lagartera
			Las Pavas
			Los Hules Abajo
			Los Hules Centro
			Tinajones Abajo
			Tinajones Arriba
			
		Arosemena	
			
			Arosemena
			Bajito Verde
			Caño Quebrado
			Divisa
			El Cruce de Arosemena
			Quebrada Grande
			
		El Arado	
			
			Brisas de Los Lagos
			Cerro Viejo
			El Cuipal
			El Limón
			El Lirio
			Floresta Park
			Hacienda Park
			La Celestina
			Loma Alta
			Moscú
			Mystic City
			Naranjal
			Residencial Brisas del Arado
			Residencial El Cielo
			Residencial Valentina
			Río Congo
			Río Congo Abajo, Los Monteros
			Salto Miraflor
			Santa Cruz
			Urbanización Juan Pablo II
			Villas del Arado
		El Coco	
			
			El Coco
			Potrero Grande
			Raudal
			
		Feuillet	
			
			El Espino
			La Tulihueca
			Las Lajitas
			Santa Cruz 1
			Santa Cruz 2
			
		Guadalupe	
			
			Alto del Espino
			Alto Jobo
			Altos de San Francisco, Las Cruces
			Cerro Negro
			Guadalupe, La Laguna
			Hacienda Los Calderones
			La Herradura
			La Pesa
			La Valdeza
			Los Piñales
			Nueva Esperanza
			Potrero Grande
			Urbanización La Valdeza
			
		Herrera	
			
			Alto de Espavé
			Caño Quebrado Arriba 1
			Cerro La Silla
			Crystal Park
			El Zaíno, Corozales Adentro
			Espavé
			Estancias Mendoza
			Gato de Agua
			Hacienda Los Robles
			La Cocobola
			La Loma
			La Pita
			Las Piedras
			Las Yayas Adentro
			Las Yayas Afuera
			Las Zanguengas
			Mendozas Park
			Monte Viejo
			
			Prado City
			Quebrada Piedra
			Residencial Campo Verde
			Residencial Green Park
			Residencial La Felicidad
			Residencial San Juan
			Riecito
			Trapichito
			Urbanización Mendoza Valley
			
		Hurtado	
			
			Bajo Grande
			Corozales Afuera
			Divisa
			El Zaíno, Corozales Adentro
			La Noneca, Llanito Verde
			Las Lajas
			Santa Rita
			
		Iturralde	
			
			Arenosa
			Caño Quebrado Abajo
			Cerro Cama
			Coca Cola
			El Iguano
			El Zaíno, Corozales Adentro
			Entrada de Arosemena
			La Colorada
			La Leona
			Los Hules Arriba
			
		La Represa	
			
			Altos del Jobo
			Calabacito
			El Cañito, Cerro Cañito
			El Cuipal
			El Jobo Arriba
			Finca Cinco Estrellas
			La Laguna
			Península
			Pueblo Nuevo
			Quebrada Lagarto
		Los Díaz	
			
			Agua Buena
			Bajo Cigual
			El Broquel
			El Cigual
			Las Ollas Abajo
			Las Ollas Arriba
			Los Mortales
			
		Mendoza	
			
			Caño Quebrado Abajo
			Mendoza
			Quebrada Chico, El Peligro
			Río Conguito
			Tinajones Abajo
			Villa Gloria
			
		Obaldía	
			
			Bajito Verde
			Caimitillo Abajo
			Cañacita
			Cañazas
			El Congal
			El Límite
			Gato de Agua
			Pueblo Nuevo, Huesital
			San Sebastian
			
		Playa Leona	
			
			Barriada La Milagrosa
			El Charcón
			El Salitral
			Entrada de Playa Chiquita
			La Herradura
			La Mitra
			La Mula
			La Pitahalla
			La Zapera
			Llano Largo
			Los Hatillos
			Peñas Blancas
			Playa Albertón
			Playa Chiquita
			Playa Leona
			Residencial Bosque Dorado
			Urbanización La Valdeza
		Puerto Caimito	
			
			Arboledas
			Barriada El Progreso
			Costa Oeste
			Costa Verde
			Después del Puente, Punta Salazar
			El Guarumal
			Isla de Gato
			La Grifa
			Playa Chiquita
			Puerto Caimito
			Residencial Colina del Mar
			Residencial Paseo Miramar
			San José, Kosovo
			
		Santa Rita	
			
			Bajo Grande
			Barriada Santa Rita
			Caimitillo Abajo
			El Escobal
			Loma de Los Montillas u Otro Lado del Puente
			Santa Cruz 1
			Santa Rita
			
	San Carlos		
			
		San Carlos	
			
			Colón
			Costa Esmeralda
			Dos Hermanas
			El Arenal
			El Nance
			El Palmar
			El Rodeo
			El Veladero
			Hacienda Pacífica
			Lago Mar
			Mata Palo
			Río Mar
			San Carlos
			Santa Teresita
			The Village Beach Residence
			Tranquillas
			Urbanización Vista Mar
			Vista Mar
		El Espino	
			
			Algarrobo
			Bajo Corozal
			Bajo de Las Bateas
			Bajo del Infiernillo
			Barrio Nuevo
			Calle Larga
			Centella Heights
			Cerro Colorado
			El Copecito
			El Dormidero
			El Espinito
			El Espino
			El Naranjal
			Espavecito
			Hacienda El Valle de Santa Catalina
			Hacienda La Florencia
			La Agustina
			La Centella
			La Galera
			La Gloria
			La Placita
			La Uva
			La Vara de Juan Sánchez
			Llano Bonito
			Los Pintos
			Los Pozos
			Pedregal
			Quebrada de El Valle
			Valle Village
			
		El Higo	
			
			Bajo de Las Bateas
			Bajo del Pueblo
			Boca de Agallal
			Corona, Playa Corona
			El Ciruelito
			El Comején, San Antonio
			El Copé
			El Cortezo
			El Guayabo
			El Higo
			El Jobal
			El Pastoreo
			La Chumicosa
			La Loma
			Llano Redondo
			Loma Larga
			
			Los Arraíces
			Los Palominos
			Los Pozos
			Los Samaniegos
			María Vicenta
			Palo Diferente
			Piedras Gordas
			Piedras Gordas Village
			Playa del Sol
			Puerto de Tierra
			Residencial El Higo
			Rodeo del Nance
			
		Guayabito	
			
			Alto del Río
			Asiento Viejo
			Cañazas
			El Alto de La Cruz
			El Higo 2
			El Roble
			Guayabito
			Hacienda Pacífica
			La Mesa
			La Mesita
			La Pedregosa
			La Peña
			La Posita
			Llano Bonito
			Llano Grande
			Loma Colorada
			Loma Larga
			Mata Redonda
			Tranquillas
			
		La Ermita	
			
			Boca de Agallal
			Boca de Las Guías
			Ciruelito
			El Hato
			El Higuito
			El Perico
			El Valle de Corona
			La Ermita
			La Hipólita
			La Loma de Palogavia
			La Palma
			
			La Pita
			Las Cajas
			Loma del Tigre
			Los Arenales
			Potrerillos
			Quebrada de Agua
			Sainillo
			
		La Laguna	
			
			Alto del Jobo
			Alto del Mamey
			Altos del María
			Bajo Aguacate
			Bajo del Jobo
			Bajo del Tigre
			Bajo Teta
			El Aromo
			El Caimito
			El Chizna
			El Guabito
			El Nancito
			El Picacho
			El Uverito
			Jobo Dulce
			La Guacamaya
			La Laguna
			La Mina
			La Placita
			La Solana
			Las Ánimas
			Limón Seco
			Portalón
			Rancho Santa Fe
			Río de Jesús
			
		Las Uvas	
			
			Calle Larga
			Casa Mar
			El Arcabuz
			El Espino
			El Hatillo
			La Agustina
			La Palma
			La Panchita
			La Unión
			Las Uvas
			
			Playa Grande
			Playa Panamá
			Quebrada Grande
			Refugio del Valle
			Valle de Los Lirios
			
		Los Llanitos	
			
			Alto de La Poma
			Alto del Cerro El Tigre
			Altos de Tagua, Cerro Tagua
			Altos del Valle
			Bajo El Jobo
			Bajos del Aguacate
			Caimitillo
			Capirita
			Cerro Agudo
			Cerro Peña
			Chichibali
			El Balso, Cerro El Marín
			El Calabacito
			El Chorro
			El Ciruelito
			El Espinito
			El Limón
			El Mamey
			El Níspero
			El Potrero, Potrerito
			El Roble
			Estancia Santerra
			La Cuesta, Bajo El Suspiro
			La Mesa
			La Placita
			La Sabaneta
			Las Corrientes
			Las Margaritas
			Las Peñitas
			Los Llanitos
			Los Pintos
			Los Samaniego
			Los Tornos
			Los Yerbos
			Mata Ahogado
			Miralejos
			Pedregalito
			Puerto Frío
			Río de Jesús
		San José	
			
			Azura
			Boca de Lajas
			Cerro Gordo
			El Creo
			El Guarumito
			El Nance
			El Poro Poro
			Finca Los Portales
			Hacienda Las Lagartijas
			Las Islas Punta Barco
			Llano Largo
			Los Llanitos
			Punta Barco
			Punta Barco Resort
			Punta Roca
			Residencial Los Solaces
			Rodeo Viejo
			San José
			Tetitas
			Vista Alegre
			

