Provincia	 Distrito	Corregimiento	Comunidad
			Cerro Bachiche
			Ciudad El Amanecer
			Comunidad Emberá, Dos Sesenta
			Cumbre Azul
			El Pantanal
			El Triángulo, El Piñal
			Emberá Purú
			Filo de Mamey
			La Bonga, 260
			La Laguna, El Tecal
			La Palmita
			La Policía
			
			La Puente
			La Puente Arriba
			La Reforma
			La Venta
			Las Albinas
			Las Praderas de San Lorenzo
			Llano Bonito
			Los Portales
			Mauro, Santa Librada
			Nuevo Caimitillo
			Paraná Purú, Pueblo Maquenque
			Peluca
			Piñal del Río
			Purú Biakirú, Pueblo Bonito
			Quebrada Ancha 2
			Quebrada Benítez
			Quebrada Cucharita
			Quebrada Cándido
			Quebrada Fea
			Quebrada Mono Congo
			Quebrada Oscura
			Quebrada Peña Blanca
			Quebrada San Antonio
			Quebrada San Francisco
			Quebrada Tranquilla
			Río Indio
			San Cristóbal
			San Juan de Pequení
			Santa Librada
			Tusipono
			Urbanización San Lorenzo
			Victoriano Lorenzo
			
		Las Garzas	
			
			Alto del Nance
			Barriada Mireya
			Buena Vista 2
			El Guarumal, Chumical
			El Hato de San José
			Hugo Henríquez
			La Cabanga
			Las Garzas
			Las Vegas
			Los Lagos
			Mandinga
			Nueva Israel
			Oderchico
			
			Paso Blanco
			Paso Blanco 2
			Residencial La Foresta
			Río Chico
			Río Chico 2
			Río Chico Urbano
			San Diego
			
		Don Bosco	
			
			Altos de Las Acacias
			Costa Linda
			Costa Sur
			Juan Díaz
			Residencial Versalles
			Urbanización Don Bosco
			Urbanización Los Robles
			
	San Miguelito		
			
		Amelia Denis de Icaza	
			
			Altos de Panamá
			Altos de Santamaría
			Horizontes
			Los Andes 1
			Pan de Azúcar
			Urbanización Condado del Rey
			Urbanización Limajo
			
		Belisario Porras	
			
			Cerro Batea
			Don Bosco
			Mallorca Park
			Pan de Azúcar
			Samaria
			San Isidro
			
		José Domingo Espinar	
			
			Nuevo Belén
			Urbanización Colinas del Golf
			Urbanización Colinas Dorasol
			Urbanización El Crisol
			Urbanización La Pulida
			Villa Guadalupe
			Villa Lucre
		Mateo Iturralde	
			
			Pan de Azúcar
			Paraíso
			Villa Guadalupe
			
		Victoriano Lorenzo	
			
			Monte Oscuro
			Pan de Azúcar
			Urbanización Industrial
			
		Arnulfo Arias	
			
			Altos del Valle de Urracá
			Barriada La Felicidad
			Barriada Torrijos Carter
			Club de Golf
			Golf Gardens
			Nuevo Belén
			Urbanización Colinas Dorasol
			
		Belisario Frías	
			
			Altos del Valle de Urracá
			Barriada Torrijos Carter
			Cerro Batea
			San Isidro
			Santa Marta
			
		Omar Torrijos	
			
			Horizontes
			Las Cumbres
			San Isidro
			Sonsonate
			Urbanización Limajo
			Urbanización Los Andes 2
			
		Rufina Alfaro	
			
			Ciudad Jardín San Antonio
			Club de Golf
			Urbanización Brisas del Golf
			Urbanización Cerro Viento
			
	Taboga		
			
		Taboga	
			
			Taboga
		Otoque Occidente	
			
			Otoque Occidente
			
		Otoque Oriente	
			
			Otoque Oriente
			

