Provincia	 Distrito	Corregimiento	Comunidad
			Ortigal
			Paso Carnal
			Patriota Arriba
			Quebrada Belorizar
			Quebrada El Tulú
			Quebrada Germán
			Quebrada La Chasla
			Quebrada La Tigra
			Quebrada Mono
			Río Claro
			Sabanitas del Jobo
			San José, El Cedro
			Unión Coclesana
			Valle Escobal
			Villa del Carmen
			
		Gobea	
			
			Bambito
			Cañafístulo
			Caño Mamey
			El Bongo
			El Cacique
			El Cedro
			El Golfo
			El Salto
			Gobea
			Gobeita 1
			Gobeita 2
			La Andriona
			La Coca
			La Hormigosa
			La Raizosa
			La Sardinosa
			
			La Vigía
			Las Negritas, El Viejito
			Las Tres Bocas
			Limón
			Loma Alta
			Loma de Gobea
			Los Brujos, Las Negritas
			Los Espaveces
			Piloncito
			Pilón
			Punta Gavilán
			Quebrada Jagua
			Quebrada Macho
			Uvero
			Viet Com
			
		Río Indio	
			
			Boca de Río Indio
			Brisas del Mar
			Castillito
			Cerro Pelao
			Charcón, El Charcón
			Chilar
			El Guásimo
			El Iguano
			El Jobito
			El Papayo
			Gandona
			Guayabalito
			La Candelaria
			La Cañaza
			La Cerdeña
			La Jejena
			La Montañuela
			La Pólvora
			Las Minas
			Loma de Piloncito, Alto Piloncito
			Mi Campo
			Miraflores
			Pilón
			Sancuderito
			Ventura
	Portobelo		
			
		Portobelo	
			
			Al Otro Lado
			Altos de La Cruz
			Bajo Mesa
			Buenaventura
			Cambongo, Cabongo
			Can Can
			Cascajal Arriba
			Cascajal, Dos Bocas
			El Guanche
			Emberá Errebache-Brindar
			Iguanita
			Isla del Padre
			La Angosta, Playa La Angosta
			La Escucha
			María Soto
			Mechi
			Nuevo Tonosí
			Peña Blanca, Peñas Blancas
			Portobelo
			Punta Gorda
			Quebrada El Macho
			Residencial San Marino
			Río Claro
			Río Piedra 1
			San Agustín
			Santa Elena
			Valle de La Media Luna
			
		Cacique	
			
			Boca de La Quebrada
			Cacique
			Finca Tesoro Verde
			Finca Yvaga
			José Pobre, José del Mar
			Majagual
			More
			More Arriba
			Playa Blanca
			Playa Blanca Arriba, Malena de Playa Blanca
			Pueblo Nuevo
			Villa del Cortezo
		Puerto Lindo, Garrote	
			
			Ballestilla
			Bartolito, Bahía Linton
			Cacique
			Cangüe
			Isla Cabra
			La Cucaracha
			La Jagua
			La Macana
			Los Yunques
			Puerto Lindo, Garrote
			Puerto Nuevo
			San Antonio
			
		Isla Grande	
			
			Caño Ciego
			Isla Grande
			Juan Gallego
			La Guaira
			Manzanillo
			Quebrada Grande
			San Antonio
			
		María Chiquita	
			
			Coco Solo, La Tablita
			El Aserrío
			El Portete
			Las Mercedes, Villa Laura
			Las Merceditas
			María Chiquita
			Playa Escondida
			Río Brazo Chico
			Río Madre Vieja
			Río Manga Indio, Manga Indio
			Río Piedra 2
			Sierra Llorona
			
	Santa Isabel		
			
		Palenque	
			
			Palenque
			Río Suave
			Villarreal
			Villarreal Adentro
		Cuango	
			
			Cuango
			Mocoso
			Quebrada La Pita
			Río San José
			San Juan
			San Juan Arriba
			
		Miramar	
			
			Boquilla del Hoyito
			La Escondida
			La Loma
			La Piedrecita
			Llerena
			Miramar
			San Antonio
			Tamarindo
			
		Nombre de Dios	
			
			Agua Muerta
			Albondiga, Río Sucio
			Bajo Corral, Río Fato
			Bella Vista
			Brazo de Cedro
			Caño Coco
			Dos Bocas
			Golondrino
			Hoyo Mesa
			La Huaca
			La Línea
			Las Guabas
			Las Margaritas
			Las Pavas
			Los Pavos
			Mariano
			Mostrencosa
			Nombre de Dios
			Peña Blanca
			Playa Alta
			Quebrada Canoa
			Quebrada La Prieta
			Quebrada Perdí
			Raicero
			Río Indio
			San Antonio
			Viento Frío
		Palmira	
			
			Brazo Ignacio
			Diandí
			Guágara
			Las Malditas
			Palmira
			Rangallosa, El Progreso
			Río Culebra
			Río Negro
			Río Tumba
			
		Playa Chiquita	
			
			Culebra, Boca de Culebra
			Fute
			Loma Bonita
			Playa Chiquita
			Puerto Pava
			Quebrada El Totumo
			Ronsuavo, Bajo Grande
			Río Matanza
			
		Santa Isabel	
			
			Chitra
			Las Malditas
			Los Caletones
			Santa Isabel
			
		Viento Frío	
			
			El Bongo
			El Cruce
			La Unión Santeña
			Nuevo Flores, Saíno
			Picy, El Marañón
			Río Saíno
			Viento Frío
			
	Omar Torrijos Herrera		
			
		San José del General	
			
			Alto de La Cruz
			Canoa
			Coclesito
			Gallinero
			Nazareno
			Santa Lucía
			Victoria
		Nueva Esperanza	
			
			Botija
			Broma
			El Pifá
			Nueva Esperanza
			Nuevo Sinaí
			Pera
			San Benito
			
		San Juan de Turbe	
			
			Alto de La Cruz
			Boca de Limón, Nuevo San José
			Botija
			Higuerones
			Jamaica
			La Ceiba
			Las Quebradas de Turbe
			Molejón, Los Molejones
			Nazareno
			San Benito
			San Juan de Turbe
			

