Provincia	 Distrito	Corregimiento	Comunidad
			Estopillán
			Eusebia Arriba
			Eusebia, La Patriota
			Finca Coredo
			Guayaquil
			La Chunga
			La Gira
			La Góngora
			La Lajosa
			La Soledad
			Los Nunos
			Los Tablones
			Platanillal
			Primavera
			Quebrada Aguacate
			Quebrada Caña Blanca Arriba
			Quebrada Cuca
			Quebrada Dorotea, Dorotea
			Quebrada Más Verde
			Román
			Santa Rosa
			
		Río Congo Arriba	
			
			Buena Vista
			Cabecera de Quebrada Diabla
			Cacao
			Dos Bocas Grandes
			El Espaveito
			Higueronal Arriba, Cabecera de Higueronal
			La Tigra
			Las Lajitas
			Monte Rico
			Nuevo Paraíso
			Nuevo Tonosí
			Platanillo
			Playa de Oro
			Progreso
			Quebrada Colorete
			Quebrada Guinea
			
			Río Arenal
			Río Bonito
			Río Chiricano
			Río Gira
			Río Pedasí
			Río Venado
			Río Venado Arriba
			Salto Tres Piedras
			San José
			San Pedrito
			Santa Bárbara Arriba
			Santa Marta
			Santa Rita
			Tigre Viento
			Valle Rico
			
		Santa Fe	
			
			Agua Buena 1
			Agua Buena 2
			Agua Clara Arriba
			Aguas Claras
			Alto de La Torre
			Altos de Vista Alegre
			Arretí
			Cabecera de Dorotea
			Caobanerita, Quebrada Caobanera
			Carrizal
			Coredo
			El Tirao
			Finca Santa Rosa
			Guayabillo
			Guayabillo Abajo
			Higueronal
			La Cabuya
			La Cantera
			La Güajira
			La Lomita, La Loma
			La Matosa
			La Villa
			Las Colinas
			Loma La Pava
			Los Monos, Arimae
			Los Nunos
			Paraíso
			Pueblo Nuevo 1
			Puerto de Santa Fe
			Quebrada Cañazas
			
			Quebrada Jabón
			Quebrada La Estenia
			Quebrada Muerto, Santa Marta
			Quebrada Tanque
			Quebrada Tanque Abajo
			Román
			Román Centro, Río Román
			Sabana Centro
			Sabanas
			Santa Fe
			Tamarindo
			Tamarindo Arriba, Zimba Arriba
			Tumagantí
			Valle Alegre
			Zapallal
			Zimba
			
		Zapallal	
			
			Altos del Cristo
			Betel
			Cucuzal, Finca Juana Micaela
			El Castillo
			El Ciruelito
			El Manguito
			Joselito
			La Lomita, La Loma
			Las Delicias, Pueblo Nuevo
			Los Caobos
			Manantial
			Pueblo Nuevo 1
			Pueblo Nuevo 2
			Puerto Lara
			Quebrada Honda
			Quebrada Plácido
			Quebrada Relojera
			Quintín
			San Cristóbal
			San Miguel
			Zapallal
			

